"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Bitcoin Up or Down - April 30, 6:00AM-6:05AM ET","Buy","2.8321799999999997","3","Up","1777543412","0x3b12bcb587f9d2060a4a2c0f99400fe7aaf35d7a133ab09e1f3a1a9cb5ae0baa"
"Bitcoin Up or Down - April 30, 1:55AM-2:00AM ET","Redeem","3","3","","1777543400","0x9e3ba90ebe7a869b726e787281b2c1583a537c13d95303dd3e68b18f9ca159c0"
"Bitcoin Up or Down - April 30, 4:25AM-4:30AM ET","Sell","2.96787","3","Up","1777537794","0xee889945fc252c1d78d0f5d3fc5a96822e0d56f6fddc467b1fd28116b4241a00"
"Bitcoin Up or Down - April 30, 4:25AM-4:30AM ET","Buy","2.8602600000000002","3","Up","1777537714","0x736f62ba4b45aa49f9adc4f7fff39ca06da4f3e3c9c972efafedbb7e0fcb3527"
"Bitcoin Up or Down - April 30, 4:05AM-4:10AM ET","Sell","2.96787","3","Down","1777536594","0x7f294a5bfb67ba62e7996ca3d89d7ff65b072c7c469354e3bf1c23c44ab2a563"
"Bitcoin Up or Down - April 30, 4:05AM-4:10AM ET","Buy","2.8602600000000002","3","Down","1777536512","0x7daad1f75b9922d09f72c149798b4066e7e568cedca777e27c7952f2e1edd401"
"Bitcoin Up or Down - April 30, 3:50AM-3:55AM ET","Sell","2.8717099999999998","3","Down","1777535694","0xb157a79d0bb8dcdf914d3b4990a6306ea6cbbd02556c0ff6a26f321e4d1f60f0"
"Bitcoin Up or Down - April 30, 3:50AM-3:55AM ET","Buy","2.74769","3","Down","1777535614","0x21ba2dd855ea9071cfbd96fc30c3124c7a2daf8260594a41a7481811620d4bfd"
"Bitcoin Up or Down - April 30, 3:45AM-3:50AM ET","Sell","2.96787","3","Up","1777535394","0x9735111df5def519e62d7d0ca386c2f70012a836aab9c734f05bebfe2484582d"
"Bitcoin Up or Down - April 30, 3:45AM-3:50AM ET","Buy","2.6628000000000003","3","Up","1777535330","0xcd436d6612161ac246099ab3bae652901098c6225019482b722ce390ff2e2237"
"Bitcoin Up or Down - April 30, 3:35AM-3:40AM ET","Sell","2.96787","3","Up","1777534794","0xe2b95bdd2628383dd21f6c449eec7b1700eb74cf5e07b0224f490fb6796b456d"
"Bitcoin Up or Down - April 30, 3:35AM-3:40AM ET","Buy","2.69114","3","Up","1777534754","0x7402e8e8cc0aa13ec6529f4bd96bdffd0e62abdcf90ab1ec513c2595462ea6bc"
"Bitcoin Up or Down - April 30, 3:30AM-3:35AM ET","Sell","2.96787","3","Up","1777534494","0x811587c61d97d7670629daea7d1473ae9ebcc1607e3f4a87feee9a63e752fdf0"
"Bitcoin Up or Down - April 30, 3:30AM-3:35AM ET","Buy","2.71944","3","Up","1777534412","0x8e3abd9b993f2603a7ce8d45622ae3b78ec5f5f162909eb526b6b0aa7b3b5f3d"
"Bitcoin Up or Down - April 30, 3:05AM-3:10AM ET","Sell","2.96787","3","Up","1777532994","0x949609faa2152323460691f4068c9c7d0242fa62bbee36deba408267ac07c330"
"Bitcoin Up or Down - April 30, 3:05AM-3:10AM ET","Buy","2.74769","3","Up","1777532924","0x01df12253e999932de3afce6c4c0b85ad2d527dce140d9bd0c42e31ff9bce2a7"
"Bitcoin Up or Down - April 30, 2:30AM-2:35AM ET","Sell","2.96787","3","Up","1777530894","0xbe2a184d4c8607c48c6d7babbf30644f2001050980ca85add363105b1220ab62"
"Bitcoin Up or Down - April 30, 2:30AM-2:35AM ET","Buy","2.8321799999999997","3","Up","1777530812","0x2cbae10068a10350540692fc76fef7455dfaed9f8976c6921dcc19e6f765a116"
"Bitcoin Up or Down - April 30, 2:15AM-2:20AM ET","Sell","2.96787","3","Up","1777529994","0xd3d7c7cb77bd4c32513aadc287b3ade3c4e765460d55a36f70ba7050454fd07e"
"Bitcoin Up or Down - April 30, 2:15AM-2:20AM ET","Buy","2.71944","3","Up","1777529914","0x4c2af6b895705f71b62a1a616c538d33b8efe91b2559e368d275a1fc10d5a21c"
"Bitcoin Up or Down - April 30, 1:55AM-2:00AM ET","Buy","2.57754","3","Down","1777528738","0x7bab9a3381dd3c1e4b909bbcfd03fed81c42267a5362399532e02aec935d2a27"
"Bitcoin Up or Down - April 30, 1:35AM-1:40AM ET","Sell","2.9357699999999998","3","Up","1777527594","0x192a077990f95af17d811a71af0e8dad3d2f75bea6d7c33f49d214003e35573f"
"Bitcoin Up or Down - April 30, 1:35AM-1:40AM ET","Buy","2.77589","3","Up","1777527514","0xb1805771713f19473511da0472717e065e5e40bb21e3d83c63a305f59c9f2973"
"Bitcoin Up or Down - April 30, 1:25AM-1:30AM ET","Sell","2.96787","3","Down","1777526994","0x4c239548878b0c3093a59fb4466aa83e1edfa922cc87e730701181477452030e"
