Time_Local,Open,High,Low,Close,Delta_%,Action,Entry,Exit,PnL_USD
02:05,67298.9,67298.9,67270.6,67277.1,0.032,NONE,-,-,-
02:10,67277.1,67277.1,67241.2,67257.4,0.029,NONE,-,-,-
02:15,67257.4,67257.4,67243.0,67256.3,0.002,NONE,-,-,-
02:20,67256.3,67256.3,67239.5,67246.0,0.015,NONE,-,-,-
02:25,67246.0,67273.6,67232.0,67264.4,0.027,NONE,-,-,-
02:30,67264.4,67264.4,67231.5,67241.2,0.035,NONE,-,-,-
02:35,67241.2,67260.0,67241.2,67259.9,0.028,NONE,-,-,-
02:40,67260.0,67270.7,67247.8,67247.8,0.018,NONE,-,-,-
02:45,67247.8,67272.8,67244.0,67244.0,0.006,NONE,-,-,-
02:50,67244.1,67244.1,67205.0,67215.6,0.042,NONE,-,-,-
02:55,67215.6,67225.0,67168.1,67225.0,0.014,NONE,-,-,-
03:00,67225.0,67230.0,67159.6,67165.7,0.088,NONE,-,-,-
03:05,67165.6,67169.2,67120.0,67149.4,0.024,NONE,-,-,-
03:10,67149.4,67205.4,67149.3,67189.7,0.06,NONE,-,-,-
03:15,67189.7,67189.7,67163.2,67163.2,0.039,NONE,-,-,-
03:20,67163.3,67175.0,67137.1,67146.9,0.024,NONE,-,-,-
03:25,67146.9,67154.6,67128.0,67130.2,0.025,NONE,-,-,-
03:30,67130.2,67130.2,67080.1,67119.2,0.016,NONE,-,-,-
03:35,67119.2,67119.2,67085.3,67088.3,0.046,NONE,-,-,-
03:40,67088.3,67108.4,67080.0,67086.7,0.002,NONE,-,-,-
03:45,67086.7,67107.2,67086.7,67107.2,0.031,NONE,-,-,-
03:50,67107.2,67119.8,67105.8,67105.8,0.002,NONE,-,-,-
03:55,67105.8,67110.3,67082.4,67085.0,0.031,NONE,-,-,-
04:00,67085.0,67090.7,66955.7,67042.5,0.063,NONE,-,-,-
04:05,67042.6,67046.5,67012.0,67015.3,0.041,NONE,-,-,-
04:10,67015.3,67015.3,66989.0,66998.4,0.025,NONE,-,-,-
04:15,66998.4,67078.9,66992.3,67078.9,0.12,LONG,67078.9,67107.6,0.0128
04:20,67078.9,67111.7,67067.1,67107.6,0.043,NONE,-,-,-
04:25,67107.6,67158.6,67106.0,67129.5,0.033,NONE,-,-,-
04:30,67129.5,67171.2,67118.0,67149.4,0.03,NONE,-,-,-
04:35,67149.4,67155.2,67133.4,67148.0,0.002,NONE,-,-,-
04:40,67148.0,67148.0,67136.0,67136.0,0.018,NONE,-,-,-
